imageFile,title,url
mariadb.png,mariadb-1,saleee.kro.kr:2301
mariadb.png,mariadb-2,saleee.kro.kr:2302
maxscale.png,mariadb-HA(RW),saleee.kro.kr:2503
maxscale.png,mariadb-HA(R),saleee.kro.kr:2403
prometheus.png,prometheus,saleee.kro.kr:8500
pve-host-ssh.png,pve-host-ssh,saleee.kro.kr:2200
redis.png,redis-1,saleee.kro.kr:3301
redis.png,redis-2,saleee.kro.kr:3302
redisql.png,redisql-1,saleee.kro.kr:5201
redisql.png,redisql-2,saleee.kro.kr:5201
redisql.png,redisql-HA,saleee.kro.kr:5200
redis.png,resia-HA,saleee.kro.kr:3300
vertica.png,vertica,saleee.kro.kr:2553
redis-sentinel.png,redis-sentinel-L4,saleee.kro.kr:3400
redis-sentinel.png,redis-sentinel-node1,saleee.kro.kr:3401
redis-sentinel.png,redis-sentinel-node2,saleee.kro.kr:3402
ollamaAPI.png,ollamaAPI,saleee.kro.kr:11434
pve-host-xrdp.png,pve-host-xrdp,saleee.kro.kr:5952
LM_studioAPI.png,LM_studioAPI,saleee.kro.kr:1235
